Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Population,Latitude,Longitude,Elevation (m),Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,City Generator Link
311,Wildbad,Wildbad,Wildbad County,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,14399,-16.79,125.74,25,,,,walls,plaza,,,https://watabou.github.io/city-generator?name=Wildbad&population=14399&size=36&seed=6656582340311&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
312,Wather,Retletownia,Retletownia Territory,Modets,United Provinces of Modets,Angshire,Old Angshire Beliefs,1774,-28.5,-110.45,4,,,citadel,,,,,https://watabou.github.io/city-generator?name=Wather&population=1774&size=16&seed=6656582340312&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
313,Kolyeva,Vyatrov,Vyatrov Canton,Modets,United Provinces of Modets,Slovan,Slovan Spirits,3371,-41.9,-83.97,36,,,,,,,,https://watabou.github.io/city-generator?name=Kolyeva&population=3371&size=21&seed=6656582340313&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
314,Montefersa,Vaikmaa,Vaikmaa Land,Castricia,Castrician Empire,Tallian,Tallian Gods,4262,35.55,-19.68,64,,,citadel,,,,,https://watabou.github.io/city-generator?name=Montefersa&population=4262&size=22&seed=6656582340314&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
315,Rariglain,Auvilly,Auvilly Land,Ardon,Kingdom of Ardon,Luari,Luari Shamanism,1759,28.74,71.05,4,,,citadel,,,,,https://watabou.github.io/city-generator?name=Rariglain&population=1759&size=16&seed=6656582340315&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
316,Mamouville,Barmaines,Barmaines County,Ardon,Kingdom of Ardon,Luari,Luari Shamanism,2410,15.51,66.31,81,,,,walls,plaza,,,https://watabou.github.io/city-generator?name=Mamouville&population=2410&size=18&seed=6656582340316&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
317,Biedenkirch,Biedenkirch,Biedenkirch County,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,12294,11.24,112.86,196,,,,,plaza,,,https://watabou.github.io/city-generator?name=Biedenkirch&population=12294&size=33&seed=6656582340317&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
318,Monano,Montevia,Montevia County,Anzia,Grand Duchy of Anzia,Tallian,Tallian Gods,31964,-2.49,-30.67,169,,,,walls,plaza,,,https://watabou.github.io/city-generator?name=Monano&population=31964&size=48&seed=6656582340318&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
319,Lofenzeln,Lofenzeln,Lofenzeln County,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,13876,-24.63,110.09,9,,,citadel,walls,,,,https://watabou.github.io/city-generator?name=Lofenzeln&population=13876&size=35&seed=6656582340319&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
320,Reykjar,Strand,Strand County,Flostia,Principality of Flostia,Norse,Norse Ancestors,3445,38.6,-101.17,361,,,citadel,,plaza,,,https://watabou.github.io/city-generator?name=Reykjar&population=3445&size=21&seed=6656582340320&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
321,Laillerelly,Morcia,Morcia County,Ardon,Kingdom of Ardon,Luari,Luari Shamanism,19207,18.13,62.06,36,,,,,plaza,,,https://watabou.github.io/city-generator?name=Laillerelly&population=19207&size=40&seed=6656582340321&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
322,Brinen,Rottwandin,Rottwandin Territory,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,9913,13.91,120.46,256,,,,,plaza,,,https://watabou.github.io/city-generator?name=Brinen&population=9913&size=31&seed=6656582340322&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
323,Alamupia,Tarcioreare,Tarcioreare Parish,Candejia,Divine Grand Duchy of Candejia,Astellian,Pelosian Gods,9614,-6.04,-46.33,16,,,citadel,,,temple,,https://watabou.github.io/city-generator?name=Alamupia&population=9614&size=30&seed=6656582340323&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
324,Piernoy,Piernoy,Piernoy Province,Chueles,Chuelesian Oligarchy,Luari,Luari Shamanism,33685,-13.15,47.84,16,,port,,walls,plaza,temple,,https://watabou.github.io/city-generator?name=Piernoy&population=33685&size=49&seed=6656582340324&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=0.1
325,Droka,Droka,Droka Canton,Modets,United Provinces of Modets,Slovan,Slovan Spirits,21642,-41.35,-78.81,64,,,citadel,walls,,,,https://watabou.github.io/city-generator?name=Droka&population=21642&size=41&seed=6656582340325&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
326,Gorodnisov,Uperiobia,Uperiobia Deanery,Luzboria,Exarchate of Luzboria,Slovan,Horchecilian Religion,1850,-46.43,-56.17,81,,,,,plaza,temple,,https://watabou.github.io/city-generator?name=Gorodnisov&population=1850&size=16&seed=6656582340326&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
327,Schwonigs,Kobernia,Kobernia County,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,9752,17.26,129.14,49,,,citadel,,,,,https://watabou.github.io/city-generator?name=Schwonigs&population=9752&size=31&seed=6656582340327&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
328,Netri,Citri,Citri Landgrave,Castricia,Castrician Empire,Tallian,Tallian Gods,6901,8.7,-56.71,256,,,,,,,,https://watabou.github.io/city-generator?name=Netri&population=6901&size=27&seed=6656582340328&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
329,Wittlin,Wittlin,Wittlin Territory,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,2092,3.93,122,100,,,citadel,,,,,https://watabou.github.io/city-generator?name=Wittlin&population=2092&size=17&seed=6656582340329&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
330,Selvaca,Aramia,Aramia Territory,Ardon,Kingdom of Ardon,Portuzian,Portuzian Beliefs,1680,-4.84,87.09,1225,,,citadel,,plaza,,,https://watabou.github.io/city-generator?name=Selvaca&population=1680&size=16&seed=6656582340330&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
331,Drangluf,Ankerka,Ankerka County,Flostia,Principality of Flostia,Norse,Norse Ancestors,1606,37.93,-107.65,324,,,citadel,,,,,https://watabou.github.io/city-generator?name=Drangluf&population=1606&size=16&seed=6656582340331&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
332,Barvaugy,Barvaugy,Barvaugy County,Ardon,Kingdom of Ardon,Luari,Luari Shamanism,13082,25.18,73.47,64,,,,walls,plaza,,,https://watabou.github.io/city-generator?name=Barvaugy&population=13082&size=34&seed=6656582340332&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
333,Peloquba,Peloquba,Peloquba Tribe,Chueles,Chuelesian Oligarchy,Portuzian,Portuzian Beliefs,1911,-14.16,84.83,361,,,,,,,,https://watabou.github.io/city-generator?name=Peloquba&population=1911&size=17&seed=6656582340333&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
334,Cantanalhei,Cantanalhei,Cantanalhei Province,Chueles,Chuelesian Oligarchy,Portuzian,Portuzian Beliefs,15920,-26.09,79.54,9,,,citadel,walls,,,,https://watabou.github.io/city-generator?name=Cantanalhei&population=15920&size=37&seed=6656582340334&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
335,Skordavik,Skordavik,Skordavik Earldom,Flostia,Principality of Flostia,Norse,Norse Ancestors,12577,45.1,-100.83,16,,port,,walls,plaza,,,https://watabou.github.io/city-generator?name=Skordavik&population=12577&size=34&seed=6656582340335&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.13
336,Purjakisuo,Loresber,Loresber County,Flostia,Principality of Flostia,Soumi,Soumi Deities,1977,39.18,-87.73,225,,,citadel,,plaza,,,https://watabou.github.io/city-generator?name=Purjakisuo&population=1977&size=17&seed=6656582340336&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
337,Utnau,Karlstat,Karlstat Earldom,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,3306,31.53,94.28,4,,port,,,,,,https://watabou.github.io/city-generator?name=Utnau&population=3306&size=20&seed=6656582340337&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=0.9
338,Arcino,Montania,Montania County,Castricia,Castrician Empire,Tallian,Tallian Gods,21088,25.42,-24.67,144,,port,,,plaza,temple,,https://watabou.github.io/city-generator?name=Arcino&population=21088&size=41&seed=6656582340338&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
339,Borand,Escray,Escray Land,Chaus,Grand Duchy of Chaus,Luari,Luari Shamanism,1910,11.11,34.75,9,,,citadel,,,,,https://watabou.github.io/city-generator?name=Borand&population=1910&size=17&seed=6656582340339&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
340,Gerns,Biedenkirch,Biedenkirch County,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,1777,8.1,113.97,484,,,,walls,,,,https://watabou.github.io/city-generator?name=Gerns&population=1777&size=16&seed=6656582340340&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
341,Tarcioreare,Tarcioreare,Tarcioreare Parish,Candejia,Divine Grand Duchy of Candejia,Astellian,Pelosian Gods,27785,-6.7,-44.93,25,,port,,walls,plaza,temple,shanty town,https://watabou.github.io/city-generator?name=Tarcioreare&population=27785&size=46&seed=6656582340341&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=1.12
342,Canemocha,Huertillas,Huertillas County,Anzia,Grand Duchy of Anzia,Astellian,Astellian Spirits,12845,-12.81,-24.83,441,,,citadel,,plaza,,,https://watabou.github.io/city-generator?name=Canemocha&population=12845&size=34&seed=6656582340342&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
343,Stapledide,Berleigh,Berleigh Territory,Chichet,Chichetian Theocracy,Angshire,Ostowleighian Faith,2852,-19.35,-119.13,49,,port,citadel,,plaza,temple,,https://watabou.github.io/city-generator?name=Stapledide&population=2852&size=19&seed=6656582340343&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1&sea=0.39
344,Macury,Tropenia,Tropenia Land,Chichet,Chichetian Theocracy,Angshire,Angshire Spirits,5218,19.83,-122.48,784,,,,,,temple,,https://watabou.github.io/city-generator?name=Macury&population=5218&size=24&seed=6656582340344&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
345,Poillere,Poillere,Poillere County,Ardon,Kingdom of Ardon,Luari,Luari Shamanism,14274,19.81,57.88,9,,,citadel,,plaza,,,https://watabou.github.io/city-generator?name=Poillere&population=14274&size=35&seed=6656582340345&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
346,Ebrin,Ettenweben,Ettenweben County,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,2089,10.17,106.57,144,,,citadel,walls,,,,https://watabou.github.io/city-generator?name=Ebrin&population=2089&size=17&seed=6656582340346&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
347,Vogtsburg,Freisachia,Freisachia Earldom,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,8751,9.03,115.82,361,,,,,,,,https://watabou.github.io/city-generator?name=Vogtsburg&population=8751&size=29&seed=6656582340347&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
348,Ehrstetters,Breisbach,Breisbach County,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,1654,-12.19,122.7,169,,,,,,,,https://watabou.github.io/city-generator?name=Ehrstetters&population=1654&size=16&seed=6656582340348&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
349,Haararinge,Kumara,Kumara Territory,Torvia,Torvian Empire,Soumi,Soumi Deities,5369,49.9,-92.08,49,,,,,,,,https://watabou.github.io/city-generator?name=Haararinge&population=5369&size=24&seed=6656582340349&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
350,Ainosaa,Hatsalaria,Hatsalaria Territory,Castricia,Castrician Empire,Soumi,Soumi Deities,2325,25.6,-45.07,81,,,citadel,,,,,https://watabou.github.io/city-generator?name=Ainosaa&population=2325&size=18&seed=6656582340350&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
351,Elronafen,Wittlin,Wittlin Territory,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,3269,2.34,123.39,81,,,citadel,,plaza,,,https://watabou.github.io/city-generator?name=Elronafen&population=3269&size=20&seed=6656582340351&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
352,Dornsberge,Dornsberge,Dornsberge County,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,12393,1.79,110.54,784,,,citadel,,plaza,,,https://watabou.github.io/city-generator?name=Dornsberge&population=12393&size=34&seed=6656582340352&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
353,Echilliers,Nesplia,Nesplia Province,Chueles,Chuelesian Oligarchy,Luari,Luari Shamanism,12912,-3.9,49.2,49,,,,walls,plaza,,,https://watabou.github.io/city-generator?name=Echilliers&population=12912&size=34&seed=6656582340353&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
354,Wallingen,Neubergind,Neubergind County,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,8363,-5.96,119.26,36,,,,,plaza,,,https://watabou.github.io/city-generator?name=Wallingen&population=8363&size=29&seed=6656582340354&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
355,Rickengengen,Breisbach,Breisbach County,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,8373,-9.69,119.21,196,,,,,,,,https://watabou.github.io/city-generator?name=Rickengengen&population=8373&size=29&seed=6656582340355&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
356,Cerville,Ligny,Ligny County,Ardon,Kingdom of Ardon,Luari,Luari Shamanism,6146,34.89,66.22,49,,,citadel,walls,,,,https://watabou.github.io/city-generator?name=Cerville&population=6146&size=26&seed=6656582340356&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
357,Tafiel,Tafiel,Tafiel Territory,Ardon,Kingdom of Ardon,Portuzian,Portuzian Beliefs,11156,14.41,84.27,1225,,,citadel,,plaza,,,https://watabou.github.io/city-generator?name=Tafiel&population=11156&size=32&seed=6656582340357&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
358,Valvesteda,Valvesteda,Valvesteda Territory,Anzia,Grand Duchy of Anzia,Astellian,Astellian Spirits,1779,-10.07,-19.91,36,,,citadel,walls,plaza,,,https://watabou.github.io/city-generator?name=Valvesteda&population=1779&size=16&seed=6656582340358&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
359,Cardes,Riria,Riria Territory,Karlstat,Karlstatian Empire,Portuzian,Portuzian Beliefs,4111,-13,98.24,49,,,,,plaza,,,https://watabou.github.io/city-generator?name=Cardes&population=4111&size=22&seed=6656582340359&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
360,Doueiro,Arazam,Arazam Province,Chueles,Chuelesian Oligarchy,Portuzian,Portuzian Beliefs,9180,-27.73,69.65,16,,,,walls,plaza,,,https://watabou.github.io/city-generator?name=Doueiro&population=9180&size=30&seed=6656582340360&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
361,Minominchon,Terteria,Terteria Landgrave,Alcoria,Grand Duchy of Alcoria,Astellian,Astellian Spirits,1798,-43.88,-34.46,36,,,,,,,,https://watabou.github.io/city-generator?name=Minominchon&population=1798&size=16&seed=6656582340361&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
362,Sudbuton,Sudbuton,Sudbuton Parish,Chichet,Chichetian Theocracy,Angshire,Angshire Spirits,8158,40.78,-127.22,16,,,,,,temple,,https://watabou.github.io/city-generator?name=Sudbuton&population=8158&size=29&seed=6656582340362&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
363,Fasaprinone,Cotritavia,Cotritavia Landgrave,Castricia,Castrician Empire,Tallian,Tallian Gods,2015,14.59,-30.96,400,,,,,plaza,,,https://watabou.github.io/city-generator?name=Fasaprinone&population=2015&size=17&seed=6656582340363&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
364,Steibenau,Ettenweben,Ettenweben County,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,6521,12.19,107.44,121,,,,,plaza,,,https://watabou.github.io/city-generator?name=Steibenau&population=6521&size=26&seed=6656582340364&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
365,Breittenberg,Pfafen,Pfafen County,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,14377,-1.09,113.14,625,,,,,plaza,,,https://watabou.github.io/city-generator?name=Breittenberg&population=14377&size=36&seed=6656582340365&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
366,Rhein,Rhein,Rhein County,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,13257,-17.61,122.58,36,,,citadel,walls,plaza,,,https://watabou.github.io/city-generator?name=Rhein&population=13257&size=34&seed=6656582340366&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
367,Coberada,Jadria,Jadria Tribe,Tanilmia,Duchy of Tanilmia,Astellian,Astellian Spirits,2435,-26.83,-36.79,784,,,,walls,plaza,,,https://watabou.github.io/city-generator?name=Coberada&population=2435&size=18&seed=6656582340367&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
368,Latilgo,Latilgo,Latilgo Islands,Chaus,Grand Duchy of Chaus,Astellian,Astellian Spirits,9711,-31.5,-12.8,16,,,citadel,,plaza,,,https://watabou.github.io/city-generator?name=Latilgo&population=9711&size=31&seed=6656582340368&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
369,Pastrieda,Miquejon,Miquejon Landgrave,Alcoria,Grand Duchy of Alcoria,Astellian,Astellian Spirits,1781,-36.69,-29.82,484,,,citadel,,plaza,,,https://watabou.github.io/city-generator?name=Pastrieda&population=1781&size=16&seed=6656582340369&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
370,Wodmouth,Wodmouth,Wodmouth Region,Modets,United Provinces of Modets,Angshire,Old Angshire Beliefs,2106,-42.95,-111.57,16,,,,,,,,https://watabou.github.io/city-generator?name=Wodmouth&population=2106&size=17&seed=6656582340370&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
371,Hatturi,Ruoki,Ruoki Landgrave,Castricia,Castrician Empire,Soumi,Soumi Deities,1807,27.61,-54.51,625,,,,,,,,https://watabou.github.io/city-generator?name=Hatturi&population=1807&size=16&seed=6656582340371&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
372,Selle,Rivia,Rivia Landgrave,Castricia,Castrician Empire,Tallian,Tallian Gods,1805,17.22,-36.35,625,,,,,,,,https://watabou.github.io/city-generator?name=Selle&population=1805&size=16&seed=6656582340372&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
373,Pressiecy,Escray,Escray Land,Chaus,Grand Duchy of Chaus,Luari,Luari Shamanism,5105,-4.55,32.99,16,,,,walls,,,,https://watabou.github.io/city-generator?name=Pressiecy&population=5105&size=24&seed=6656582340373&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
374,Cozas,Cozas,Cozas Earldom,Torta,Kingdom of Torta,Astellian,Astellian Spirits,32202,-4.98,-65.97,324,,,citadel,walls,plaza,,,https://watabou.github.io/city-generator?name=Cozas&population=32202&size=48&seed=6656582340374&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
375,Tigue,Ceauviles,Ceauviles Province,Chueles,Chuelesian Oligarchy,Luari,Luari Shamanism,17591,-16.74,42.21,16,,port,citadel,,,,,https://watabou.github.io/city-generator?name=Tigue&population=17591&size=38&seed=6656582340375&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=0.47
376,Siter,Tiengenia,Tiengenia County,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,20361,-27.17,110.17,9,,,citadel,walls,plaza,,,https://watabou.github.io/city-generator?name=Siter&population=20361&size=41&seed=6656582340376&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
377,Lymouth,Skipland,Skipland Canton,Modets,United Provinces of Modets,Angshire,Old Angshire Beliefs,1808,-34.33,-92.77,441,,,citadel,,,,,https://watabou.github.io/city-generator?name=Lymouth&population=1808&size=16&seed=6656582340377&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
378,Pizargesmon,Artobira,Artobira County,Chaus,Grand Duchy of Chaus,Astellian,Pizargesmonian Sect,14060,-42.51,-13.02,36,,,citadel,walls,plaza,,,https://watabou.github.io/city-generator?name=Pizargesmon&population=14060&size=35&seed=6656582340378&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
379,Allan,Ugenados,Ugenados Margrave,Alcoria,Grand Duchy of Alcoria,Astellian,Astellian Spirits,22199,-47,-29.77,49,,,,walls,,,shanty town,https://watabou.github.io/city-generator?name=Allan&population=22199&size=42&seed=6656582340379&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=1&gates=-1
380,Artintaivete,Artintaivete,Artintaivete Captaincy,Chaus,Grand Duchy of Chaus,Luari,Luari Shamanism,13944,6.51,28.2,9,,,citadel,walls,,,,https://watabou.github.io/city-generator?name=Artintaivete&population=13944&size=35&seed=6656582340380&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
381,Patro,Patro,Patro Island,Anzia,Grand Duchy of Anzia,Tallian,Tallian Gods,10376,2.69,-20.37,144,,,,walls,plaza,,,https://watabou.github.io/city-generator?name=Patro&population=10376&size=31&seed=6656582340381&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
382,Zafen,Zafen,Zafen Earldom,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,11829,-12.09,118.27,256,,,,walls,,,,https://watabou.github.io/city-generator?name=Zafen&population=11829&size=33&seed=6656582340382&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
383,Cachalma,Cantanalhei,Cantanalhei Province,Chueles,Chuelesian Oligarchy,Portuzian,Portuzian Beliefs,2809,-26.7,76.48,25,,,citadel,walls,,,,https://watabou.github.io/city-generator?name=Cachalma&population=2809&size=19&seed=6656582340383&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
384,Allarcigos,Chepes,Chepes Territory,Alcoria,Grand Duchy of Alcoria,Astellian,Astellian Spirits,2748,-33.57,-19.13,16,,port,citadel,,,,,https://watabou.github.io/city-generator?name=Allarcigos&population=2748&size=19&seed=6656582340384&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=1.52
385,Urrilvez,Tortedia,Tortedia Deanery,Luzboria,Exarchate of Luzboria,Astellian,Horchecilian Religion,20008,-50.83,-50.34,49,,port,,walls,,temple,shanty town,https://watabou.github.io/city-generator?name=Urrilvez&population=20008&size=40&seed=6656582340385&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=1&gates=-1&sea=1.75
386,Hvegils,Hvegils,Hvegils County,Flostia,Principality of Flostia,Norse,Norse Ancestors,23749,29.57,-114.91,441,,,,walls,plaza,,,https://watabou.github.io/city-generator?name=Hvegils&population=23749&size=43&seed=6656582340386&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
